headword,pos,definition,examples,synonyms
subserviently,adverb,in an obsequious manner [adv.all],"she acts obsequiously toward her boss | ""she acts obsequiously toward her boss""","obsequiously, servilely"
substantially,adverb,to a great extent or degree [adv.all] | in a strong substantial way [adv.all],"I'm afraid the film was well over budget | painting the room white made it seem considerably (or substantially) larger | the house has fallen considerably in value | the price went up substantially | ""I'm afraid the film was well over budget""","well, considerably"
subtly,adverb,in a subtle manner [adv.all],"late nineteenth-century French opera at its most beautiful, subtly romantic with a twilight melancholy | ""late nineteenth-century French opera at its most beautiful, subtly romantic with a twilight melancholy""",
successfully,adverb,with success [adv.all],"she performed the surgery successfully | in a successful manner | ""she performed the surgery successfully""",
successively,adverb,in proper order or sequence [adv.all],"talked to each child in turn | the stable became in turn a chapel and then a movie theater | ""talked to each child in turn"" | ""the stable became in turn a chapel and then a movie theater""",in turn
succinctly,adverb,with concise and precise brevity [adv.all],"Please state your case as succinctly as possible | he wrote compactly but clearly | to the point | ""Please state your case as succinctly as possible"" | ""he wrote compactly but clearly""",compactly
such,adverb,to so extreme a degree [adv.all],"he is such a baby | Such rich people! | ""he is such a baby"" | ""Such rich people!""",
suddenly,adverb,happening unexpectedly [adv.all] | quickly and without warning [adv.all] | on impulse [adv.all],"suddenly she felt a sharp pain in her side | ""suddenly she felt a sharp pain in her side"" | he stopped suddenly | ""he stopped suddenly"" | he decided to go to Chicago on the spur of the moment","all of a sudden, of a sudden, abruptly, short, dead, on the spur of the moment"
sufficiently,adverb,to a sufficient degree [adv.all],"she was sufficiently fluent in Mandarin | ""she was sufficiently fluent in Mandarin""",
suggestively,adverb,in a suggestive manner [adv.all],"she smiled suggestively | ""she smiled suggestively""",
suitably,adverb,in an appropriate manner [adv.all],"he was appropriately dressed | ""he was appropriately dressed""","appropriately, fittingly, befittingly, fitly"
sulkily,adverb,in a sulky manner [adv.all],"`What else could I do?' said Graham sulkily | ""`What else could I do?' said Graham sulkily""",
sullenly,adverb,in a sullen manner [adv.all],"he sat in his chair dourly | ""he sat in his chair dourly""","dourly, glumly"
sultrily,adverb,in a sultry and sensual manner [adv.all],"the belly dancer mover sensually among the tables | ""the belly dancer mover sensually among the tables""",sensually
summa cum laude,adverb,with highest honor [adv.all],"he graduated summa cum laude | ""he graduated summa cum laude""",
summarily,adverb,without delay [adv.all],"the suspected spy was summarily executed | in a summary manner | ""the suspected spy was summarily executed""",
sumptuously,adverb,in a sumptuous and opulent manner [adv.all],"this government building is sumptuously appointed | ""this government building is sumptuously appointed""",opulently
sunnily,adverb,in a cheerful manner [adv.all],"`I'll do the dishes,' he said pleasantly | ""`I'll do the dishes,' he said pleasantly""","pleasantly, cheerily"
super,adverb,to an extreme degree [adv.all],"extremely cold | extremely unpleasant | ""extremely cold"" | ""extremely unpleasant""","extremely, exceedingly, passing"
superbly,adverb,(used as an intensifier) extremely well [adv.all],"her voice is superbly disciplined | the colors changed wondrously slowly | ""her voice is superbly disciplined"" | ""the colors changed wondrously slowly""","wonderfully, wondrous, wondrously, toppingly, marvellously, terrifically, marvelously"
superciliously,adverb,with a sneer [adv.all],"`I don't believe in these customs,' he said sneeringly | in an uncomplimentary sneering manner | ""`I don't believe in these customs,' he said sneeringly""","sneeringly, snidely"
superficially,adverb,in a superficial manner [adv.all],"he was superficially interested | ""he was superficially interested""",
superfluously,adverb,in a superfluous manner [adv.all],"superfluously, he added his silly comments to the discussion | ""superfluously, he added his silly comments to the discussion""",
superlatively,adverb,to a superlative degree [adv.all],,
supernaturally,adverb,in a supernatural manner [adv.all],"she was preternaturally beautiful | ""she was preternaturally beautiful""",preternaturally
superstitiously,adverb,in a superstitious manner [adv.all],"superstitiously he refused to travel on Friday the 13th | ""superstitiously he refused to travel on Friday the 13th""",
supinely,adverb,with the face upward [adv.all] | in an indifferently supine manner [adv.all],"she was stretched supinely on her back | ""she was stretched supinely on her back"" | he called the tune to me and I supinely took it up | ""he called the tune to me and I supinely took it up""",
supposedly,adverb,believed or reputed to be the case [adv.all],,purportedly
supra,adverb,at an earlier place [adv.all],"see above | ""see above""",above
supremely,adverb,to the maximum degree [adv.all],"he was supremely confident | ""he was supremely confident""",
sure,adverb,definitely or positively (`sure' is sometimes used informally for `surely') [adv.all],"the results are surely encouraging | she certainly is a hard worker | it's going to be a good day for sure | they are coming, for certain | they thought he had been killed sure enough","surely, certainly, for sure, for certain, sure enough, sure as shooting"
sure as shooting,adverb,definitely or positively (`sure' is sometimes used informally for `surely') [adv.all],"the results are surely encouraging | she certainly is a hard worker | it's going to be a good day for sure | they are coming, for certain | they thought he had been killed sure enough","surely, certainly, sure, for sure, for certain, sure enough"
sure enough,adverb,as supposed or expected [adv.all] | definitely or positively (`sure' is sometimes used informally for `surely') [adv.all],"sure enough, he asked her for money again | ""sure enough, he asked her for money again"" | the results are surely encouraging | she certainly is a hard worker | it's going to be a good day for sure","surely, certainly, sure, for sure, for certain, sure as shooting"
surely,adverb,definitely or positively (`sure' is sometimes used informally for `surely') [adv.all],"the results are surely encouraging | she certainly is a hard worker | it's going to be a good day for sure | they are coming, for certain | they thought he had been killed sure enough","certainly, sure, for sure, for certain, sure enough, sure as shooting"
surgically,adverb,in a surgical manner [adv.all],"surgically removed | by means of surgery | ""surgically removed""",
surlily,adverb,in a churlish manner [adv.all],"the store owner treated his customers churlishly | ""the store owner treated his customers churlishly""",churlishly
surpassingly,adverb,to a surpassing degree [adv.all],"she was a surpassingly beautiful woman | ""she was a surpassingly beautiful woman""",
surprisedly,adverb,in the manner of one who is surprised [adv.all],,
surprisingly,adverb,in a surprising manner [adv.all] | in an amazing manner [adv.all],"he was surprisingly friendly | ""he was surprisingly friendly"" | amazingly, he finished medical school in three years | to everyone's surprise | ""amazingly, he finished medical school in three years""","amazingly, astonishingly"
surreptitiously,adverb,in a surreptitious manner [adv.all],"he was watching her surreptitiously as she waited in the hotel lobby | ""he was watching her surreptitiously as she waited in the hotel lobby""",sneakily
suspiciously,adverb,with suspicion [adv.all],"she regarded the food suspiciously | ""she regarded the food suspiciously""",
sweepingly,adverb,in a sweeping manner [adv.all],"he sweepingly condemned the entire population of the country for the war crimes | ""he sweepingly condemned the entire population of the country for the war crimes""",
sweet,adverb,in an affectionate or loving manner (`sweet' is sometimes a poetic or informal variant of `sweetly') [adv.all],"Susan Hayward plays the wife sharply and sweetly | how sweet the moonlight sleeps upon this bank | talking sweet to each other | ""Susan Hayward plays the wife sharply and sweetly"" | ""how sweet the moonlight sleeps upon this bank""- Shakespeare",sweetly
sweetly,adverb,in an affectionate or loving manner (`sweet' is sometimes a poetic or informal variant of `sweetly') [adv.all],"Susan Hayward plays the wife sharply and sweetly | how sweet the moonlight sleeps upon this bank | talking sweet to each other | ""Susan Hayward plays the wife sharply and sweetly"" | ""how sweet the moonlight sleeps upon this bank""- Shakespeare",sweet
swiftly,adverb,in a swift manner [adv.all],"she moved swiftly | ""she moved swiftly""",fleetly
swimmingly,adverb,with no problems or difficulties [adv.all],"put the plans into effect quickly and smoothly | despite of some mishaps, everything went swimmingly | ""put the plans into effect quickly and smoothly"" | ""despite of some mishaps, everything went swimmingly""",smoothly
syllabically,adverb,in or with syllables [adv.all],"syllabically pronounced | ""syllabically pronounced""",
symbiotically,adverb,in a symbiotic manner [adv.all],,
symbolically,adverb,in a symbolic manner [adv.all] | by means of symbols [adv.all],"symbolically accepted goals | ""symbolically accepted goals"" | symbolically expressed | ""symbolically expressed""",
symmetrically,adverb,in a symmetrical manner [adv.all],"they were symmetrically arranged | ""they were symmetrically arranged""",
sympathetically,adverb,with respect to the sympathetic nervous system [adv.all] | in a sympathetic manner [adv.all],"the stimulus acted sympathetically | ""the stimulus acted sympathetically"" | she listened to him sympathetically | ""she listened to him sympathetically""",empathetically
symptomatically,adverb,by symptoms [adv.all],,
synchronously,adverb,in synchrony [adv.all],"in four-chambered hearts, the two auricles move synchronously | in a synchronous manner | ""in four-chambered hearts, the two auricles move synchronously""",
synergistically,adverb,(of group) in a synergistic or cooperative manner [adv.all] | (of drugs or muscles) in a synergistic or interactive manner [adv.all],,
synonymously,adverb,in a synonymous manner [adv.all],"the two terms are used synonymously | ""the two terms are used synonymously""",
syntactically,adverb,with respect to syntax [adv.all],"syntactically ill-formed | ""syntactically ill-formed""",
synthetically,adverb,by synthesis [adv.all],"some of these drugs have been derived from opium and others have been produced synthetically | in a synthetic manner | ""some of these drugs have been derived from opium and others have been produced synthetically""",
systematically,adverb,in a systematic or consistent manner [adv.all],"they systematically excluded women | ""they systematically excluded women""",consistently
tacitly,adverb,in a tacit manner [adv.all],"they are tacitly expected to work 10 hours a day | by unexpressed agreement | ""they are tacitly expected to work 10 hours a day""",
taciturnly,adverb,without speaking [adv.all],"he sat mutely next to her | ""he sat mutely next to her""","mutely, wordlessly, silently"
tactfully,adverb,showing tact or tactfulness [adv.all],"he stepped tactfully in to prevent trouble | in a tactful manner | ""he stepped tactfully in to prevent trouble""",
tactically,adverb,with regard to tactics [adv.all],"the tactically useful province is still firmly in the rebels' hands | ""the tactically useful province is still firmly in the rebels' hands""",
tactlessly,adverb,without tact [adv.all],"at the moment of the murder, he is standing in front of television cameras and talking tactlessly | in a tactless manner | ""at the moment of the murder, he is standing in front of television cameras and talking tactlessly""",
tactually,adverb,by touch [adv.all],"he perceives shapes tactually | ""he perceives shapes tactually""",haptically
talkatively,adverb,in a chatty loquacious manner [adv.all],"`When I was young,' she continued loquaciously, `I used to do all sorts of naughty things' | ""`When I was young,' she continued loquaciously, `I used to do all sorts of naughty things'""","loquaciously, garrulously, talkily"
talkily,adverb,in a chatty loquacious manner [adv.all],"`When I was young,' she continued loquaciously, `I used to do all sorts of naughty things' | ""`When I was young,' she continued loquaciously, `I used to do all sorts of naughty things'""","loquaciously, garrulously, talkatively"
tamely,adverb,in a tame manner [adv.all],"the labour movement allowed itself to be run out of power tamely | ""the labour movement allowed itself to be run out of power tamely""",
tandem,adverb,one behind the other [adv.all],"ride tandem on a bicycle built for two | riding horses down the path in tandem | ""ride tandem on a bicycle built for two"" | ""riding horses down the path in tandem""",in tandem
tangentially,adverb,in passing [adv.all],"touched on it tangentially | ""touched on it tangentially""",
tangibly,adverb,in a tangible manner [adv.all],"virtue is tangibly rewarded | ""virtue is tangibly rewarded""",
tantalizingly,adverb,in a tantalizing manner [adv.all],"she smiled at him tantalizingly | ""she smiled at him tantalizingly""",invitingly
tardily,adverb,without speed (`slow' is sometimes used informally for `slowly') [adv.all] | later than usual or than expected [adv.all],"he spoke slowly | go easy here--the road is slippery | glaciers move tardily | please go slow so I can see the sights | ""he spoke slowly""","slowly, slow, easy, late, belatedly"
tartly,adverb,in a tart manner [adv.all],"`Never mind your immortal soul,' she said tartly | ""`Never mind your immortal soul,' she said tartly""",
tastefully,adverb,with taste [adv.all],"the house was tastefully decorated | in a tasteful manner | ""the house was tastefully decorated""",tastily
tastelessly,adverb,without taste or in poor taste [adv.all],"the house was tastelessly decorated | in a tasteless manner | ""the house was tastelessly decorated""",
tastily,adverb,in a tasty manner [adv.all] | with taste [adv.all],"the meal was tastily cooked | ""the meal was tastily cooked"" | the house was tastefully decorated | in a tasteful manner | ""the house was tastefully decorated""",tastefully
tattily,adverb,in a cheap manner [adv.all],"a cheaply dressed woman approached him in the bar | ""a cheaply dressed woman approached him in the bar""","cheaply, inexpensively"
tauntingly,adverb,in a playfully teasing manner [adv.all],"`You hate things to be out of order, don't you?' she said teasingly | ""`You hate things to be out of order, don't you?' she said teasingly""",teasingly
tautly,adverb,in a taut manner [adv.all],"the rope was tautly stretched | ""the rope was tautly stretched""",
tawdrily,adverb,in a tastelessly garish manner [adv.all],"the temple was garishly decorated with bright plastic flowers | ""the temple was garishly decorated with bright plastic flowers""","garishly, gaudily"
taxonomically,adverb,with regard to taxonomy [adv.all],"closely related taxonomically | ""closely related taxonomically""",
tearfully,adverb,with tears [adv.all],"the man confessed tearfully to having beaten his wife | in a tearful manner | ""the man confessed tearfully to having beaten his wife""",
teasingly,adverb,in a playfully teasing manner [adv.all],"`You hate things to be out of order, don't you?' she said teasingly | ""`You hate things to be out of order, don't you?' she said teasingly""",tauntingly
technically,adverb,with regard to technique [adv.all] | with regard to technical skill and the technology available [adv.all] | according to the exact meaning [adv.all],"technically lagging behind the Japanese | a technically brilliant boxer | ""technically lagging behind the Japanese"" | ""a technically brilliant boxer"" | a technically brilliant solution",
technologically,adverb,by means of technology [adv.all],"technologically impossible | ""technologically impossible""",
tediously,adverb,in a tedious manner [adv.all],"boringly slow work | he plodded tediously forward | ""boringly slow work"" | ""he plodded tediously forward""","boringly, tiresomely"
telegraphically,adverb,in a short and concise manner [adv.all],"a particular bird, exactly and tersely described in the book of birds | ""a particular bird, exactly and tersely described in the book of birds""",tersely
telescopically,adverb,in a telescopic manner [adv.all],"each of the four legs contains a simple screw jack with a thrust bearing that is operated telescopically inside of two tubes | ""each of the four legs contains a simple screw jack with a thrust bearing that is operated telescopically inside of two tubes""",
tellingly,adverb,in a telling manner [adv.all],"the plain manner of its style all the more tellingly points up the horror of the case | ""the plain manner of its style all the more tellingly points up the horror of the case""",
temperamentally,adverb,by temperament [adv.all],"temperamentally suited to each other | ""temperamentally suited to each other""",
temperately,adverb,with restraint [adv.all] | without extravagance [adv.all] | in a sparing manner [adv.all],"he used the privileges of his office temperately | ""he used the privileges of his office temperately"" | these preferences are temperately stated | ""these preferences are temperately stated"" | he ate and drank abstemiously",abstemiously
temporally,adverb,with regard to temporal order [adv.all],"temporally processed | ""temporally processed""",
temporarily,adverb,for a limited time only [adv.all],"he will work here temporarily | he was brought out of retirement temporarily | a power failure temporarily darkened the town | not permanently | ""he will work here temporarily""",
temptingly,adverb,in a tempting seductive manner [adv.all],"she smiled at him seductively | ""she smiled at him seductively""",seductively
tenaciously,adverb,with obstinate determination [adv.all],"he pursued her doggedly | ""he pursued her doggedly""",doggedly
tendentiously,adverb,in a tendentious manner [adv.all],"the paper reported rather tendentiously on the war atrocities | ""the paper reported rather tendentiously on the war atrocities""",
tenderly,adverb,with tenderness [adv.all],"tenderly she placed her arms round him | in a tender manner | ""tenderly she placed her arms round him""",
tenfold,adverb,by ten times as much [adv.all],"the population increased tenfold | ""the population increased tenfold""",
tensely,adverb,in a tense manner [adv.all],"he sat down tensely | ""he sat down tensely""",
tentatively,adverb,in a tentative manner [adv.all],"we agreed tentatively on a dinner date | ""we agreed tentatively on a dinner date""",
tenthly,adverb,"(in enumerating something, such as topics or points of discussion) in the tenth place [adv.all]",,
tenuously,adverb,in a tenuous manner [adv.all],"his works tenuously survive in the minds of a few scholars | ""his works tenuously survive in the minds of a few scholars""",
tepidly,adverb,in an unenthusiastically lukewarm manner [adv.all],"he was lukewarmly received by his relatives | ""he was lukewarmly received by his relatives""",lukewarmly
terminally,adverb,at the end [adv.all],"terminally ill | ""terminally ill""",
terrestrially,adverb,in a worldly manner [adv.all] | to a land environment [adv.all],"terrestrially changeable | ""terrestrially changeable"" | terrestrially adapted | ""terrestrially adapted""",mundanely
terribly,adverb,used as intensifiers [adv.all] | in a terrible manner [adv.all],"terribly interesting | I'm awful sorry | ""terribly interesting"" | ""I'm awful sorry"" | she sings terribly","awfully, awful, frightfully, atrociously, abominably, abysmally, rottenly"
terrifically,adverb,(used as an intensifier) extremely well [adv.all],"her voice is superbly disciplined | the colors changed wondrously slowly | ""her voice is superbly disciplined"" | ""the colors changed wondrously slowly""","wonderfully, wondrous, wondrously, superbly, toppingly, marvellously, marvelously"
territorially,adverb,with respect to territory [adv.all],"territorially important | ""territorially important""",
tersely,adverb,in a short and concise manner [adv.all],"a particular bird, exactly and tersely described in the book of birds | ""a particular bird, exactly and tersely described in the book of birds""",telegraphically
testily,adverb,in a petulant manner [adv.all],"he said testily; `Go away!' | ""he said testily | `Go away!'""","irritably, petulantly, pettishly"
tetchily,adverb,in an ill-natured and tetchy manner [adv.all],"`Are you sure?' he asked her tetchily | ""`Are you sure?' he asked her tetchily""",
tete a tete,adverb,without the intrusion of a third person [adv.all],"we talked tete-a-tete | in intimate privacy | ""we talked tete-a-tete""",
thankfully,adverb,in a thankful manner [adv.all] | let us be thankful that [adv.all],"he accepted thankfully my apologies | with thanks | ""he accepted thankfully my apologies"" | thankfully he didn't come to the party | ""thankfully he didn't come to the party""",gratefully
that is to say,adverb,as follows [adv.all],,"namely, viz., to wit, videlicet"
that much,adverb,to a certain degree [adv.all],"we will be that much ahead of them | ""we will be that much ahead of them""",
the least bit,adverb,in the slightest degree or in any respect [adv.all],"Are you at all interested? No, not at all | was not in the least unfriendly | ""Are you at all interested? No, not at all"" | ""was not in the least unfriendly""","at all, in the least"
the other way around,adverb,with the order reversed [adv.all],"she hates him and vice versa | ""she hates him and vice versa""","vice versa, contrariwise"
the right way,adverb,in the right manner [adv.all],"please do your job properly! | can't you carry me decent? | ""please do your job properly!"" | ""can't you carry me decent?""","properly, decently, decent, in good order, right"
the whole way,adverb,to the goal [adv.all],"she climbed the mountain all the way | ""she climbed the mountain all the way""",all the way
theatrically,adverb,in a stagy and theatrical manner [adv.all] | in a theatrical manner [adv.all],"`I cannot show my face at her house,' he declared theatrically | ""`I cannot show my face at her house,' he declared theatrically"" | theatrically dressed | ""theatrically dressed""",stagily
thematically,adverb,with regard to thematic content [adv.all],"thematically related | ""thematically related""",
then,adverb,subsequently or soon afterward (often used as sentence connectors) [adv.all] | in that case or as a consequence [adv.all] | at that time [adv.all],"then he left | go left first, then right | first came lightning, then thunder | we watched the late movie and then went to bed | and so home and to bed","so, and so, and then"
then again,adverb,(contrastive) from another point of view [adv.all],"on the other hand, she is too ambitious for her own good | then again, she might not go | ""on the other hand, she is too ambitious for her own good"" | ""then again, she might not go""","on the other hand, but then"
thence,adverb,from that place or from there [adv.all] | from that circumstance or source [adv.all] | (used to introduce a logical conclusion) from that fact or reason or as a result [adv.all],"proceeded thence directly to college | flew to Helsinki and thence to Moscow | roads that lead therefrom | ""proceeded thence directly to college"" | ""flew to Helsinki and thence to Moscow""","therefrom, thereof, therefore, hence, thus, so"
thenceforth,adverb,from that time on [adv.all],"thereafter he never called again | ""thereafter he never called again""",thereafter
theologically,adverb,as regards theology [adv.all] | in a theological manner [adv.all],"the candidate was found theologically sound | ""the candidate was found theologically sound"" | he dealt with the problem of evil theologically, not philosophically | ""he dealt with the problem of evil theologically, not philosophically""",
theoretically,adverb,in theory [adv.all] | in a theoretical manner [adv.all],"on paper the candidate seems promising | according to the assumed facts | ""on paper the candidate seems promising"" | he worked the problem out theoretically | ""he worked the problem out theoretically""",
therapeutically,adverb,for therapeutic purposes [adv.all],,
there,adverb,in or at that place [adv.all] | in that matter [adv.all] | to or toward that place [adv.all],"they have lived there for years | it's not there | that man there | ""they have lived there for years"" | ""it's not there""","at that place, in that location, in that respect, on that point, thither"
thereabout,adverb,near that time or date [adv.all] | near that place [adv.all],"come at noon or thereabouts | ""come at noon or thereabouts"" | he stayed in London or thereabouts for several weeks | ""he stayed in London or thereabouts for several weeks""",thereabouts
thereabouts,adverb,near that time or date [adv.all] | near that place [adv.all],"come at noon or thereabouts | ""come at noon or thereabouts"" | he stayed in London or thereabouts for several weeks | ""he stayed in London or thereabouts for several weeks""",thereabout
thereafter,adverb,from that time on [adv.all],"thereafter he never called again | ""thereafter he never called again""",thenceforth
thereby,adverb,by that means or because of that [adv.all],"He knocked over the red wine, thereby ruining the table cloth | ""He knocked over the red wine, thereby ruining the table cloth""",
therefor,adverb,"(in formal usage, especially legal usage) for that or for it [adv.all]","ordering goods and enclosing payment therefor | a refund therefor | ""ordering goods and enclosing payment therefor"" | ""a refund therefor""",
therefore,adverb,(used to introduce a logical conclusion) from that fact or reason or as a result [adv.all] | as a consequence [adv.all],therefore X must be true | the eggs were fresh and hence satisfactory | we were young and thence optimistic | it is late and thus we must go | the witness is biased and so cannot be trusted,"hence, thence, thus, so, consequently"
therefrom,adverb,from that circumstance or source [adv.all] | from that place or from there [adv.all],"atomic formulas and all compounds thence constructible | a natural conclusion follows thence | public interest and a policy deriving therefrom | typhus fever results therefrom | ""atomic formulas and all compounds thence constructible""- W.V.Quine","thence, thereof"
therein,adverb,(formal) in or into that thing or place [adv.all],"they can read therein what our plans are | ""they can read therein what our plans are""","in this, in that"
thereinafter,adverb,"in the following part of a given matter, as in a document or speech [adv.all]",,
thereof,adverb,of or concerning this or that [adv.all] | from that circumstance or source [adv.all],"a problem and the solution thereof | ""a problem and the solution thereof"" | atomic formulas and all compounds thence constructible | a natural conclusion follows thence | public interest and a policy deriving therefrom","thence, therefrom"
thereon,adverb,on that [adv.all],"text and commentary thereon | ""text and commentary thereon""","on it, on that"
thereto,adverb,to that [adv.all],"with all the appurtenances fitting thereto | ""with all the appurtenances fitting thereto""","to it, to that"
theretofore,adverb,up to that time [adv.all],"they had not done any work theretofore | ""they had not done any work theretofore""",
thereunder,adverb,under that [adv.all],"the headings and the items listed thereunder | ""the headings and the items listed thereunder""","under that, under it"
therewith,adverb,with that or this or it [adv.all],"I have learned that whatever state I am, therewith to be content | ""I have learned that whatever state I am, therewith to be content""- Phil.4:11",
therewithal,adverb,together with all that [adv.all],"thy slanders I forgive; and therewithal remit thy other forfeits | besides | ""thy slanders I forgive | and therewithal remit thy other forfeits""- Shakespeare",
thermally,adverb,by means of heat or with respect to thermal properties [adv.all],,
thermodynamically,adverb,with respect to thermodynamics [adv.all],"this phenomenon is thermodynamically impossible | ""this phenomenon is thermodynamically impossible""",
thermostatically,adverb,by thermostat [adv.all],"the temperature is thermostatically controlled | in a thermostatic manner | ""the temperature is thermostatically controlled""",
thick,adverb,with a thick consistency [adv.all] | in quick succession [adv.all],"the blood was flowing thick | ""the blood was flowing thick"" | misfortunes come fast and thick | ""misfortunes come fast and thick""",thickly
thickly,adverb,spoken with poor articulation as if with a thick tongue [adv.all] | in a concentrated manner [adv.all] | with a thick consistency [adv.all] | with thickness [adv.all] | in quick succession [adv.all],"after a few drinks he was beginning to speak thickly | ""after a few drinks he was beginning to speak thickly"" | old houses are often so densely packed that perhaps three or four have to be demolished for every new one built | a thickly populated area | ""old houses are often so densely packed that perhaps three or four have to be demolished for every new one built""","densely, thick"
thievishly,adverb,in a manner characteristic of a thief [adv.all],,
thin,adverb,without viscosity [adv.all],"the blood was flowing thin | ""the blood was flowing thin""",thinly
thinly,adverb,without force or sincere effort [adv.all] | without viscosity [adv.all] | in a small quantity or extent [adv.all] | in a widely distributed manner [adv.all],"smiled thinly | ""smiled thinly"" | the blood was flowing thin | ""the blood was flowing thin"" | spread the margarine thinly over the meat","thin, lightly"
third,adverb,in the third place [adv.all],"third we must consider unemployment | ""third we must consider unemployment""",thirdly
thirdhand,adverb,by doubly indirect means [adv.all],"I got the news thirdhand | ""I got the news thirdhand""",
thirdly,adverb,in the third place [adv.all],"third we must consider unemployment | ""third we must consider unemployment""",third
thirstily,adverb,in a thirsty manner [adv.all] | with eagerness [adv.all],"we drank thirstily from the bottle that was passed around | ""we drank thirstily from the bottle that was passed around"" | the news was eagerly awaited | in an eager manner | ""the news was eagerly awaited""",eagerly
this evening,adverb,during the night of the present day [adv.all],"drop by tonight | ""drop by tonight""","tonight, this night"
this night,adverb,during the night of the present day [adv.all],"drop by tonight | ""drop by tonight""","tonight, this evening"
thither,adverb,to or toward that place [adv.all],"go there around noon! | away from the speaker | ""go there around noon!""",there
thoroughly,adverb,in an exhaustive manner [adv.all] | completely and absolutely (`good' is sometimes used informally for `thoroughly') [adv.all],"we searched the files thoroughly | ""we searched the files thoroughly"" | he was soundly defeated | we beat him good | ""he was soundly defeated""","exhaustively, soundly, good"
though,adverb,(postpositive) however [adv.all],"it might be unpleasant, though | ""it might be unpleasant, though""",
thoughtfully,adverb,in a thoughtful manner [adv.all] | showing consideration and thoughtfulness [adv.all],"he stared thoughtfully out the window | ""he stared thoughtfully out the window"" | he had thoughtfully brought with him some food to share | ""he had thoughtfully brought with him some food to share""",
thoughtlessly,adverb,in a thoughtless manner [adv.all] | showing thoughtlessness [adv.all],"he stared thoughtlessly at the picture | ""he stared thoughtlessly at the picture"" | he treated his parents thoughtlessly | ""he treated his parents thoughtlessly""","unthinkingly, unthinking"
thousand times,adverb,by three orders of magnitude [adv.all],"this poison is a thousand-fold more toxic | ""this poison is a thousand-fold more toxic""",thousand-fold
thousand-fold,adverb,by three orders of magnitude [adv.all],"this poison is a thousand-fold more toxic | ""this poison is a thousand-fold more toxic""",thousand times
threateningly,adverb,in a menacing manner [adv.all],"the voice at the other end of the line dropped menacingly | ""the voice at the other end of the line dropped menacingly""",menacingly
three times,adverb,by a factor of three [adv.all],"our rent increased threefold in the past five years | ""our rent increased threefold in the past five years""",threefold
threefold,adverb,by a factor of three [adv.all],"our rent increased threefold in the past five years | ""our rent increased threefold in the past five years""",three times
thrice,adverb,three times [adv.all],"I called you thrice last night | ""I called you thrice last night""",
thriftily,adverb,in a thrifty manner [adv.all],"a used towel that he had used and had left thriftily on the ledge below the mirror rather than consign to the linen basket | ""a used towel that he had used and had left thriftily on the ledge below the mirror rather than consign to the linen basket""",
thriftlessly,adverb,in a thriftless manner [adv.all],"he lives thriftlessly from day to day | ""he lives thriftlessly from day to day""",
through,adverb,from beginning to end [adv.all] | over the whole distance [adv.all] | to completion [adv.all] | in diameter [adv.all] | throughout the entire extent [adv.all],"read this book through | ""read this book through"" | this bus goes through to New York | ""this bus goes through to New York"" | think this through very carefully!",through and through
through an experiment,adverb,in an experimental fashion [adv.all],"this can be experimentally determined | ""this can be experimentally determined""","experimentally, by experimentation"
through and through,adverb,throughout the entire extent [adv.all],got soaked through in the rain | I'm frozen through | a letter shot through with the writer's personality | knew him through and through | boards rotten through and through,through
through empirical observation,adverb,in an empirical manner [adv.all],"this can be empirically tested | ""this can be empirically tested""","empirically, by trial and error"
throughout,adverb,from first to last [adv.all] | used to refer to cited works [adv.all],"the play was excellent end-to-end | ""the play was excellent end-to-end""","end-to-end, passim"
thus,adverb,(used to introduce a logical conclusion) from that fact or reason or as a result [adv.all] | in the way indicated [adv.all],therefore X must be true | the eggs were fresh and hence satisfactory | we were young and thence optimistic | it is late and thus we must go | the witness is biased and so cannot be trusted,"therefore, hence, thence, so, thusly"
thus far,adverb,used in negative statement to describe a situation that has existed up to this point or up to the present time [adv.all],"So far he hasn't called | the sun isn't up yet | ""So far he hasn't called"" | ""the sun isn't up yet""","so far, up to now, hitherto, heretofore, as yet, yet, til now, until now"
thusly,adverb,in the way indicated [adv.all],"hold the brush so | set up the pieces thus | ""hold the brush so"" | ""set up the pieces thus"" | (`thusly' is a nonstandard variant)","thus, so"
tidily,adverb,in a tidy manner [adv.all],"the door gave access to a tidily furnished sitting-room where chintz and oak predominated | ""the door gave access to a tidily furnished sitting-room where chintz and oak predominated""",
tight,adverb,firmly or closely [adv.all] | in an attentive manner [adv.all],"held fast to the rope | her foot was stuck fast | held tight | ""held fast to the rope"" | ""her foot was stuck fast""","fast, close, closely"
tightly,adverb,in a tight or constricted manner [adv.all] | securely fixed or fastened [adv.all],"a tightly packed pub | ""a tightly packed pub"" | the window was tightly sealed | ""the window was tightly sealed""",
til now,adverb,used in negative statement to describe a situation that has existed up to this point or up to the present time [adv.all],"So far he hasn't called | the sun isn't up yet | ""So far he hasn't called"" | ""the sun isn't up yet""","so far, thus far, up to now, hitherto, heretofore, as yet, yet, until now"
time and again,adverb,repeatedly [adv.all],"the unknown word turned up over and over again in the text | ""the unknown word turned up over and over again in the text""","over and over, again and again, over and over again, time and time again"
time and time again,adverb,repeatedly [adv.all],"the unknown word turned up over and over again in the text | ""the unknown word turned up over and over again in the text""","over and over, again and again, over and over again, time and again"
timely,adverb,at an opportune time [adv.all],"your letter arrived apropos | ""your letter arrived apropos""","seasonably, well-timed, apropos"
