headword,pos,definition,examples,synonyms
big bend national park,noun,a large national park in Texas featuring mountains and desert and canyons and wildlife [noun.location],,
big bill haywood,noun,United States labor leader and militant socialist who was one of the founders of the Industrial Workers of the World (1869-1928) [noun.person],,"Haywood, William Dudley Haywood"
big bill tilden,noun,United States tennis player who dominated men's tennis in the 1920s (1893-1953) [noun.person],,"Tilden, William Tatem Tilden Jr."
big blue,noun,"a reliable and deadly 15,000-pound fragmentation bomb that explodes just above ground with a large radius [noun.artifact]",the largest conventional bomb in existence | used in Afghanistan,BLU-82
big board,noun,a stock exchange in New York [noun.artifact] | the large display board at the New York Stock Exchange that reports on stocks traded on the exchange [noun.artifact],,"New York Stock Exchange, N. Y. Stock Exchange, NYSE"
big brother,noun,an authoritarian leader and invader of privacy [noun.person] | an older brother [noun.person],,
big brown bat,noun,rather large North American brown bat [noun.animal],widely distributed,Eptesicus fuscus
big bucks,noun,a large sum of money (especially as pay or profit) [noun.possession],"she made a bundle selling real estate | they sank megabucks into their new house | ""she made a bundle selling real estate"" | ""they sank megabucks into their new house""","pile, bundle, megabucks, big money"
big business,noun,commercial enterprises organized and financed on a scale large enough to influence social and political policies [noun.group],"big business is growing so powerful it is difficult to regulate it effectively | ""big business is growing so powerful it is difficult to regulate it effectively""",
big businessman,noun,a very wealthy or powerful businessman [noun.person],"an oil baron | ""an oil baron""","baron, business leader, king, magnate, mogul, power, top executive, tycoon"
big cat,noun,any of several large cats typically able to roar and living in the wild [noun.animal],,cat
big cheese,noun,an important influential person [noun.person],"he thinks he's a big shot | she's a big deal in local politics | the Qaeda commander is a very big fish | ""he thinks he's a big shot"" | ""she's a big deal in local politics""","big shot, big gun, big wheel, big deal, big enchilada, big fish, head honcho"
big deal,noun,an important influential person [noun.person] | anything of great importance or consequence [noun.attribute],"he thinks he's a big shot | she's a big deal in local politics | the Qaeda commander is a very big fish | ""he thinks he's a big shot"" | ""she's a big deal in local politics""","big shot, big gun, big wheel, big cheese, big enchilada, big fish, head honcho"
big dipper,noun,a group of seven bright stars in the constellation Ursa Major [noun.object] | elevated railway in an amusement park (usually with sharp curves and steep inclines) [noun.artifact],,"Dipper, Plough, Charles's Wain, Wain, Wagon, roller coaster, chute-the-chute"
